,GSM1276026,GSM1276027,GSM1276028,GSM1276029,GSM1276030,GSM1276031,GSM1276032,GSM1276033,GSM1276034,GSM1276035,GSM1276036,GSM1276037,GSM1276038,GSM1276039,GSM1276040,GSM1276041,GSM1276042,GSM1276043,GSM1276044,GSM1276045,GSM1276046,GSM1276047
KCNK10,4.18674,4.18817,4.09786,4.03569,4.11125,3.99887,3.99801,4.02846,4.03572,4.06823,4.04759,4.06943,3.98239,3.9459,4.0052,3.98495,4.14718,3.95788,4.0221,4.06721,4.01328,4.10766
PTPN21,2.31262,2.29687,2.25917,2.24566,2.37295,2.26208,2.196,2.20296,2.19797,2.14604,2.21757,2.25869,2.20809,2.26975,2.1635,2.12342,2.17519,2.13056,2.29325,2.2546,2.2679,2.20771
EML5,3.38483,3.24266,3.25197,3.1165,3.11704,3.2446,3.0498,3.01122,2.91618,2.84059,3.11747,3.15533,2.99557,3.36061,3.07525,3.1855,3.0092,3.15026,3.13379,2.99536,3.1393,3.05671
FOXN3,7.38829,7.28714,7.50734,7.50049,7.37385,7.66244,7.31406,7.60517,7.54899,7.48647,7.59492,7.50698,7.49223,7.62817,7.6925,7.69185,7.50003,7.51829,7.48444,7.50492,7.3663,7.45086
EFCAB11,3.20779,3.24831,3.34248,3.33019,3.28918,3.30343,3.33959,3.37453,3.27861,3.23609,3.41462,3.31195,3.21612,3.3669,3.70716,3.37089,3.31677,3.30733,3.1408,3.27167,3.39832,3.24893
Q6ZUI1_HUMAN,4.75994,4.48533,4.28797,4.68608,4.80975,3.84942,4.43052,4.14111,4.54655,4.08516,4.83803,4.40334,4.33422,4.02286,4.52392,4.1475,4.38341,4.19163,4.40982,4.16411,3.82078,4.23799
C14orf102,5.0761,5.08815,5.1675,5.10494,4.90792,5.21439,4.98038,5.10419,5.21344,5.02832,5.08512,5.07786,5.1678,5.07103,5.10773,5.06063,5.08812,5.1138,5.18949,5.26598,5.00069,5.13513
TTC7B,5.37974,5.40216,5.03978,5.47108,5.42357,5.2806,5.7563,5.21567,5.6031,6.06677,5.51998,5.54078,6.02268,5.22561,5.34448,5.72061,5.57638,5.57365,5.48851,5.37077,5.84156,5.26882
LOC283588,3.77258,4.66633,5.21136,4.4354,4.32551,4.31967,4.01771,4.80946,4.77493,3.61423,4.36427,4.77325,4.20682,3.98496,4.00673,5.29544,4.63917,4.1432,4.29062,4.61621,4.05323,4.34198
RPS6KA5,6.90224,6.84531,7.26254,7.01582,6.6399,7.22454,6.71048,7.19575,7.27799,6.7381,6.95772,7.19537,6.40256,7.05951,6.95958,7.37428,7.15175,6.67267,6.67287,7.15479,6.58531,6.93352
GPR68,6.62635,6.94774,6.7883,6.74723,6.85099,6.42213,6.80857,6.76952,6.66427,6.5702,6.80597,6.40871,6.59099,6.69808,6.48809,6.59921,6.74112,6.62275,6.33022,6.31668,6.61435,6.63967
