"samplename"	"Cohort"	"y"	"prob"
"PCLZ140"	"GSE251778_M"	1	2.59794742282309e-06
"PCLZ141"	"GSE251778_M"	1	0.00380262515794394
"PCLZ142"	"GSE251778_M"	1	0.0040312535191901
"PCLZ143"	"GSE251778_M"	1	0.000634579662988584
"PCLZ144"	"GSE251778_M"	1	1.99075855965568e-05
"PCLZ145"	"GSE251778_M"	1	0.00015834498456126
"PCLZ147"	"GSE251778_M"	1	0.015886261959577
"PCLZ148"	"GSE251778_M"	1	0.000117850836977294
"PCLZ81"	"GSE251778_M"	0	1.21201423625847e-05
"PCLZ82"	"GSE251778_M"	0	8.36405904830937e-05
"PCLZ83"	"GSE251778_M"	0	8.25725333108359e-05
"PCLZ84"	"GSE251778_M"	0	8.83010580783713e-06
"PCLZ85"	"GSE251778_M"	0	0.000507720083712796
"PCLZ87"	"GSE251778_M"	0	1.96201408191767e-05
"PCLZ88"	"GSE251778_M"	0	0.000123606157868328
"PCLZ89"	"GSE251778_M"	0	0.0041150869550031
"PCLZ90"	"GSE251778_M"	0	2.65056106980955e-05
"PCLZ91"	"GSE251778_M"	0	6.21500302757002e-05
"PCLZ92"	"GSE251778_M"	0	1.36545174127567e-05
"PCLZ94"	"GSE251778_M"	0	0.000219920998437311
"PCLZ95"	"GSE251778_M"	0	0.0191845373462645
"PCLZ96"	"GSE251778_M"	0	9.19719666167517e-05
"PCLZ97"	"GSE251778_M"	0	4.17713030678096e-05
"PCLZ98"	"GSE251778_M"	0	4.75236742829446e-05
"PCLZ99"	"GSE251778_M"	0	0.00279508821714756
"X10"	"GSE251778_F"	0	4.14522889761893e-05
"X12"	"GSE251778_F"	0	0.00201340195484634
"X13"	"GSE251778_F"	0	1.42446435914411e-05
"X15"	"GSE251778_F"	0	0.000123948086732104
"X16"	"GSE251778_F"	0	0.000227745661381482
"X18"	"GSE251778_F"	0	3.61974663849073e-05
"X19"	"GSE251778_F"	0	8.96115181085908e-05
"X21"	"GSE251778_F"	0	0.000320763190213544
"X22"	"GSE251778_F"	0	0.000119908865555506
"X23"	"GSE251778_F"	0	1.46412939447154e-05
"X24"	"GSE251778_F"	0	0.000339104620542626
"X25"	"GSE251778_F"	0	0.000850947068989045
"X266"	"GSE251778_F"	1	0.000355248930030949
"X268"	"GSE251778_F"	1	0.000665621505819464
"X27"	"GSE251778_F"	0	5.51965328167892e-05
"X270"	"GSE251778_F"	1	0.000520385294306436
"X272"	"GSE251778_F"	1	0.00149085198550473
"X274"	"GSE251778_F"	1	0.000397195346632047
"X276"	"GSE251778_F"	1	5.81301220605635e-05
"X278"	"GSE251778_F"	1	0.000271486809811049
"X279"	"GSE251778_F"	1	0.00353883787014719
"X28"	"GSE251778_F"	0	0.000481860417528668
"X280"	"GSE251778_F"	1	3.15718875259459e-05
"X282"	"GSE251778_F"	1	0.000854407252826962
"X284"	"GSE251778_F"	1	0.00081185558123748
"X285"	"GSE251778_F"	1	0.000934444692252302
"X286"	"GSE251778_F"	1	4.95452062893711e-05
"X29"	"GSE251778_F"	0	0.00090042314298171
"X290"	"GSE251778_F"	1	0.000287167296193676
"X292"	"GSE251778_F"	1	0.000460506058075809
"X294"	"GSE251778_F"	1	0.00280770190217735
